"Country" "Raised" "num" "ESG" "EPI" "CO2_E" "CO2_pc" "E_RNEW" "Env_Taxes_gdp" "WUI" "PolStab" "Voice_Account" "Gov_Effectiveness" "Regulatory_Quality" "Rule_Of_Law" "Control_Of_Corruption" "EODoing_business" "GDPUSD" "GDPpc" "Consumerprice" "Reservas" "Exchande_rate" "Gini_index" "Bank_capital" "non_performing_loans" "Paying_tax"
"Colombia" 0 70 0 75.93 75674 1.57 32.38 0.78 0.14 -0.77 0.11 -0.11 0.27 -0.35 -0.41 69.2 312053.86 6449.97 4.31 47637.2 2949.54 49.7 16.08 4.18 72.2
"Colombia" 20050000 174 0 65.22 79355.2 1.61 30.57 0.75 0.16 -0.8 0.16 -0.11 0.24 -0.37 -0.32 69 334339.41 6782.04 3.24 48401.5 2958.2 50.4 16.6 4.4 72.3
"Colombia" 0 4 0 52.9 79057.6 1.55 31.31 0.67 0.15 -0.66 0.15 0.04 0.24 -0.48 -0.23 70.1 271005.9 5304.29 2.52 59039.3 3693.17 53.5 16.33 4.8 71.2
"Costa Rica" 16993085 2 0 80.03 8173.5 1.64 33.33 2.33 0.1 0.61 1.12 0.25 0.45 0.45 0.46 67.7 60610.37 12118.13 1.63 7149.8 567.53 48.3 9.57 2.05 58.3
"Costa Rica" 5390597 101 0 67.85 8166.6 1.62 33.13 2.52 0.13 0.47 1.11 0.38 0.49 0.49 0.53 69.3 62380.51 12383.15 2.22 7500.9 577.82 48 9.72 2.12 58.3
"Costa Rica" 162000 16 0 67.85 7956.4 1.56 33.42 2.53 0.04 0.45 1.1 0.37 0.56 0.55 0.66 68.8 64307.29 12669.34 2.09 8937.1 587.91 48.2 10.18 2.4 58.3
"Costa Rica" 0 1 0 52.5 6967.4 1.36 36.43 1.71 0.03 0.77 1.12 0.23 0.49 0.52 0.69 69.2 62319.75 12179.26 0.73 7231.5 584.89 49.2 9.74 2.43 58.3
"Croatia" 893695 6 0.02 65.45 16433.4 4.02 32.83 4.14 0.1 0.8 0.44 0.55 0.5 0.32 0.07 72.6 61295.34 15003.14 1.5 19351.65 6.28 29.7 13.9 9.71 20.6
"Croatia" 0 60 0 65.45 16523.3 4.06 31.6 4.09 0.19 0.69 0.46 0.49 0.56 0.37 0.08 73 61308.01 15086.21 0.77 20208.7 6.63 28.9 13.85 6.99 20.5
"Cyprus" 37442551 9 0.03 80.24 7361.2 6.09 10.94 3.01 0 0.54 1.06 0.92 1.03 0.88 0.78 72.3 22958.33 26697.01 0.54 330.46 0.52 31.4 9.04 31.39 24.2
